Student_ID,Professor_ID,Student_Gender,Professor_Gender,Faculty,Satisfaction_Score
S02041,P119,Female,Female,Translation,4.0
S01193,P069,Female,Male,Law,5.1
S02159,P125,Female,Male,Translation,9.4
S01713,P099,Male,Male,Humanities,5.9
S00846,P052,Female,Male,Engineering,7.8
S00737,P044,Male,Male,Engineering,8.5
S00964,P058,Female,Female,Law,8.4
S01795,P105,Female,Male,Humanities,7.7
S01623,P092,Female,Female,Humanities,7.7
S00806,P049,Female,Male,Engineering,9.5
S01281,P074,Female,Male,Law,7.9
S01969,P115,Male,Female,Translation,7.7
S01970,P116,Female,Female,Translation,8.5
S01802,P105,Female,Male,Humanities,8.0
S00734,P044,Female,Male,Engineering,7.4
S00496,P030,Female,Male,Economics,7.4
S00472,P028,Male,Male,Economics,7.7
S00444,P027,Female,Male,Economics,6.9
S01541,P088,Female,Female,Humanities,6.3
S01061,P062,Male,Female,Law,9.1
S01236,P071,Female,Male,Law,9.0
S00487,P029,Male,Male,Economics,7.3
S00999,P060,Female,Female,Law,9.4
S01823,P107,Female,Female,Translation,10.0
S01414,P079,Male,Male,Law,6.2
S01742,P101,Female,Male,Humanities,8.3
S01278,P074,Female,Male,Law,7.5
S01548,P088,Female,Female,Humanities,7.1
S00963,P058,Female,Female,Law,7.7
S00302,P017,Male,Male,Economics,7.5
S01284,P074,Female,Male,Law,6.9
S02063,P120,Female,Female,Translation,7.9
S01419,P080,Female,Female,Humanities,8.9
S00500,P030,Female,Male,Economics,5.9
S00392,P022,Male,Male,Economics,7.4
S01922,P112,Male,Female,Translation,4.7
S00762,P046,Female,Male,Engineering,7.3
S02068,P120,Male,Female,Translation,9.8
S01039,P061,Male,Female,Law,10.0
S01171,P066,Male,Female,Law,7.9
S02181,P125,Male,Male,Translation,7.4
S00433,P026,Male,Male,Economics,6.6
S01300,P074,Male,Male,Law,6.3
S02010,P118,Female,Female,Translation,9.4
S01262,P072,Female,Male,Law,8.0
S00844,P052,Female,Male,Engineering,9.4
S01774,P103,Female,Male,Humanities,5.3
S01083,P063,Male,Female,Law,8.9
S01335,P076,Male,Male,Law,7.5
S00385,P022,Female,Male,Economics,6.9
S02144,P124,Female,Male,Translation,7.9
S00800,P048,Male,Male,Engineering,7.6
S00661,P040,Male,Male,Engineering,7.8
S01845,P109,Female,Female,Translation,5.3
S01311,P075,Female,Male,Law,9.7
S01669,P096,Female,Female,Humanities,9.2
S01210,P070,Female,Male,Law,5.7
S01654,P094,Female,Female,Humanities,9.4
S01771,P103,Female,Male,Humanities,8.2
S00691,P042,Female,Male,Engineering,8.6
S01688,P097,Female,Male,Humanities,6.4
S01319,P075,Female,Male,Law,8.3
S01914,P112,Female,Female,Translation,5.3
S01112,P064,Female,Female,Law,8.6
S01070,P063,Female,Female,Law,8.6
S00887,P054,Female,Male,Engineering,8.4
S01282,P074,Female,Male,Law,5.7
S00381,P021,Male,Male,Economics,8.6
S00931,P056,Female,Male,Engineering,5.6
S01769,P103,Female,Male,Humanities,9.0
S00620,P038,Male,Male,Engineering,6.1
S00812,P049,Male,Male,Engineering,7.7
S01245,P071,Male,Male,Law,7.5
S00594,P037,Male,Male,Engineering,10.0
S00299,P017,Male,Male,Economics,7.3
S00566,P034,Female,Female,Engineering,5.8
S00247,P015,Female,Male,Economics,5.9
S00623,P038,Male,Male,Engineering,9.0
S01923,P112,Male,Female,Translation,6.1
S00204,P012,Female,Male,Economics,8.0
S01457,P082,Female,Female,Humanities,6.5
S01788,P104,Male,Male,Humanities,10.0
S01829,P107,Male,Female,Translation,6.6
S01907,P112,Female,Female,Translation,5.3
S00417,P024,Male,Male,Economics,6.2
S00398,P023,Female,Male,Economics,10.0
S01450,P081,Male,Female,Humanities,7.5
S00532,P032,Male,Female,Engineering,7.4
S00563,P034,Female,Female,Engineering,5.8
S02200,P126,Male,Male,Translation,8.8
S01045,P061,Male,Female,Law,9.1
S00911,P055,Female,Male,Engineering,6.5
S00320,P018,Male,Male,Economics,6.7
S00043,P002,Male,Female,Economics,5.6
S01389,P078,Male,Male,Law,7.0
S01102,P064,Female,Female,Law,8.9
S01706,P098,Male,Male,Humanities,6.9
S00970,P058,Female,Female,Law,8.4
S01357,P077,Female,Male,Law,6.6
S00129,P007,Female,Female,Economics,7.4
S00084,P005,Female,Female,Economics,7.9
S00264,P016,Female,Male,Economics,7.1
S01901,P111,Male,Female,Translation,6.3
S01540,P088,Female,Female,Humanities,7.0
S01408,P079,Male,Male,Law,4.5
S01462,P082,Female,Female,Humanities,6.6
S00665,P040,Male,Male,Engineering,7.7
S01228,P070,Male,Male,Law,7.1
S01834,P108,Female,Female,Translation,5.6
S01437,P081,Female,Female,Humanities,8.9
S02081,P121,Female,Male,Translation,7.2
S01656,P094,Female,Female,Humanities,9.2
S00786,P048,Female,Male,Engineering,6.6
S01056,P062,Female,Female,Law,7.0
S00803,P048,Male,Male,Engineering,8.8
S01059,P062,Male,Female,Law,6.7
S01653,P094,Female,Female,Humanities,8.2
S02101,P121,Female,Male,Translation,8.8
S02065,P120,Female,Female,Translation,9.8
S01528,P087,Female,Female,Humanities,7.7
