Course_ID,Teaching_Methodology,Weighted_Performance,Workload_Satisfaction,Class
C0171,CASE,0.576,8.6,TOP
C0118,PRBL,0.457,3.9,BOTTOM
C0163,CASE,0.533,8.1,TOP
C0051,PJBL,0.595,9.3,TOP
C0155,FLIP,0.385,5.0,BOTTOM
C0198,CASE,0.383,5.0,BOTTOM
C0002,LECT,0.568,9.2,TOP
C0196,CASE,0.363,4.0,BOTTOM
C0055,PJBL,0.593,8.5,TOP
C0072,PJBL,0.39,4.7,BOTTOM
C0126,FLIP,0.55,8.3,TOP
C0149,FLIP,0.39,4.2,BOTTOM
C0176,CASE,0.557,9.4,TOP
C0148,FLIP,0.405,3.8,BOTTOM
C0189,CASE,0.357,4.1,BOTTOM
C0015,LECT,0.548,8.9,TOP
C0113,PRBL,0.411,4.5,BOTTOM
C0184,CASE,0.347,4.0,BOTTOM
C0014,LECT,0.588,7.9,TOP
C0191,CASE,0.372,5.1,BOTTOM
C0045,PJBL,0.564,7.3,TOP
C0120,PRBL,0.405,4.8,BOTTOM
C0048,PJBL,0.591,7.6,TOP
C0083,PRBL,0.572,9.4,TOP
C0074,PJBL,0.424,5.3,BOTTOM
C0134,FLIP,0.534,9.4,TOP
C0078,PJBL,0.41,5.0,BOTTOM
C0173,CASE,0.571,8.9,TOP
C0166,CASE,0.576,8.6,TOP
C0109,PRBL,0.433,5.0,BOTTOM
C0082,PRBL,0.555,8.1,TOP
C0073,PJBL,0.4,4.9,BOTTOM
C0139,FLIP,0.565,9.1,TOP
C0088,PRBL,0.503,9.2,TOP
C0085,PRBL,0.546,7.6,TOP
C0007,LECT,0.583,8.8,TOP
C0089,PRBL,0.571,7.8,TOP
C0180,CASE,0.539,8.2,TOP
C0034,LECT,0.409,4.2,BOTTOM
C0108,PRBL,0.4,5.2,BOTTOM
C0013,LECT,0.567,7.1,TOP
C0038,LECT,0.375,4.2,BOTTOM
C0160,FLIP,0.407,4.3,BOTTOM
C0077,PJBL,0.414,4.8,BOTTOM
C0023,LECT,0.387,5.4,BOTTOM
C0006,LECT,0.53,8.8,TOP
C0024,LECT,0.357,5.1,BOTTOM
C0043,PJBL,0.574,7.8,TOP
C0104,PRBL,0.392,3.8,BOTTOM
C0058,PJBL,0.572,8.8,TOP
C0132,FLIP,0.505,7.3,TOP
C0010,LECT,0.449,8.9,TOP
C0142,FLIP,0.431,4.3,BOTTOM
C0144,FLIP,0.408,5.0,BOTTOM
C0079,PJBL,0.418,5.5,BOTTOM
C0195,CASE,0.379,4.3,BOTTOM
C0107,PRBL,0.391,5.1,BOTTOM
C0121,FLIP,0.543,8.6,TOP
C0041,PJBL,0.57,8.1,TOP
C0037,LECT,0.389,4.9,BOTTOM
C0192,CASE,0.365,4.8,BOTTOM
C0162,CASE,0.569,7.9,TOP
C0025,LECT,0.364,5.2,BOTTOM
C0094,PRBL,0.549,7.3,TOP
C0136,FLIP,0.526,8.9,TOP
C0199,CASE,0.335,4.3,BOTTOM
C0056,PJBL,0.534,7.2,TOP
C0031,LECT,0.344,5.5,BOTTOM
C0125,FLIP,0.525,7.6,TOP
C0036,LECT,0.412,5.2,BOTTOM
C0017,LECT,0.54,7.5,TOP
C0003,LECT,0.522,7.7,TOP
C0062,PJBL,0.396,4.7,BOTTOM
C0143,FLIP,0.449,3.7,BOTTOM
C0091,PRBL,0.523,8.2,TOP
C0200,CASE,0.344,4.8,BOTTOM
C0183,CASE,0.358,5.5,BOTTOM
C0130,FLIP,0.548,8.6,TOP
C0119,PRBL,0.406,4.3,BOTTOM
C0067,PJBL,0.409,3.9,BOTTOM
C0050,PJBL,0.597,8.4,TOP
C0068,PJBL,0.41,3.9,BOTTOM
C0054,PJBL,0.565,7.3,TOP
C0096,PRBL,0.576,8.8,TOP
C0075,PJBL,0.428,5.0,BOTTOM
C0080,PJBL,0.399,3.9,BOTTOM
C0053,PJBL,0.565,7.1,TOP
C0146,FLIP,0.429,5.1,BOTTOM
C0172,CASE,0.588,7.4,TOP
C0026,LECT,0.381,4.7,BOTTOM
C0090,PRBL,0.594,9.3,TOP
C0158,FLIP,0.387,3.5,BOTTOM
C0060,PJBL,0.581,9.4,TOP
C0081,PRBL,0.518,9.0,TOP
C0021,LECT,0.392,3.5,BOTTOM
C0106,PRBL,0.41,4.3,BOTTOM
C0167,CASE,0.545,8.2,TOP
C0117,PRBL,0.392,4.9,BOTTOM
C0186,CASE,0.368,4.0,BOTTOM
C0103,PRBL,0.385,4.4,BOTTOM
C0145,FLIP,0.415,5.3,BOTTOM
C0193,CASE,0.347,4.9,BOTTOM
C0141,FLIP,0.431,3.8,BOTTOM
C0190,CASE,0.373,4.4,BOTTOM
C0151,FLIP,0.415,4.3,BOTTOM
C0100,PRBL,0.541,9.2,TOP
C0076,PJBL,0.433,4.2,BOTTOM
C0009,LECT,0.547,7.5,TOP
C0137,FLIP,0.531,9.4,TOP
C0027,LECT,0.385,4.2,BOTTOM
C0123,FLIP,0.487,8.9,TOP
C0008,LECT,0.554,8.3,TOP
C0188,CASE,0.367,4.1,BOTTOM
C0047,PJBL,0.579,8.3,TOP
C0032,LECT,0.426,4.4,BOTTOM
C0147,FLIP,0.43,3.7,BOTTOM
C0001,LECT,0.516,7.8,TOP
C0170,CASE,0.58,7.7,TOP
C0035,LECT,0.385,3.7,BOTTOM
C0046,PJBL,0.559,7.5,TOP
C0112,PRBL,0.429,4.3,BOTTOM
C0098,PRBL,0.557,9.3,TOP
C0019,LECT,0.552,9.2,TOP
C0099,PRBL,0.566,7.8,TOP
C0087,PRBL,0.571,7.2,TOP
C0177,CASE,0.533,9.1,TOP
C0101,PRBL,0.427,3.7,BOTTOM
C0063,PJBL,0.397,4.1,BOTTOM
C0185,CASE,0.386,5.1,BOTTOM
C0111,PRBL,0.407,4.8,BOTTOM
C0153,FLIP,0.429,4.0,BOTTOM
C0140,FLIP,0.579,7.2,TOP
C0175,CASE,0.564,8.2,TOP
C0150,FLIP,0.427,5.1,BOTTOM
C0044,PJBL,0.579,7.3,TOP
C0178,CASE,0.561,8.7,TOP
C0159,FLIP,0.406,4.3,BOTTOM
C0022,LECT,0.379,5.2,BOTTOM
C0092,PRBL,0.549,8.1,TOP
C0065,PJBL,0.424,4.8,BOTTOM
C0011,LECT,0.517,9.2,TOP
C0040,LECT,0.397,4.4,BOTTOM
C0181,CASE,0.338,4.8,BOTTOM
C0168,CASE,0.567,9.3,TOP
C0133,FLIP,0.533,8.9,TOP
C0061,PJBL,0.364,4.8,BOTTOM
C0059,PJBL,0.577,7.3,TOP
C0157,FLIP,0.424,4.0,BOTTOM
C0086,PRBL,0.59,9.4,TOP
C0028,LECT,0.456,3.9,BOTTOM
C0016,LECT,0.567,8.9,TOP
C0070,PJBL,0.432,4.8,BOTTOM
C0154,FLIP,0.443,5.3,BOTTOM
C0004,LECT,0.584,7.6,TOP
C0049,PJBL,0.553,9.0,TOP
C0039,LECT,0.414,4.0,BOTTOM
C0042,PJBL,0.596,9.4,TOP
C0110,PRBL,0.398,5.3,BOTTOM
C0182,CASE,0.349,4.6,BOTTOM
C0064,PJBL,0.41,3.7,BOTTOM
C0005,LECT,0.573,8.0,TOP
C0029,LECT,0.327,3.8,BOTTOM
C0066,PJBL,0.419,4.7,BOTTOM
C0129,FLIP,0.521,7.1,TOP
C0097,PRBL,0.574,7.1,TOP
C0194,CASE,0.374,3.8,BOTTOM
C0165,CASE,0.614,7.5,TOP
C0071,PJBL,0.435,3.9,BOTTOM
C0122,FLIP,0.575,7.7,TOP
C0152,FLIP,0.439,4.6,BOTTOM
C0156,FLIP,0.404,3.9,BOTTOM
C0124,FLIP,0.531,8.3,TOP
C0084,PRBL,0.55,9.3,TOP
C0018,LECT,0.576,8.1,TOP
C0093,PRBL,0.525,7.1,TOP
C0138,FLIP,0.518,9.0,TOP
